event_id,ticker,event_type,market_kind,window_days,n_base,baseline_fallback,abnormal_move,abn_logodds,abn_scaled,time_to_50h,avg_spread,n_trades,vol_window,vol_base_daily,d_oi,pre_mid,surprise,moneyness_steps,cell,pair_source
aj_brown_to_patriots,KXFED-26SEP-T5.25,unscheduled_sports,macro_bucket,3,8,False,,,,,0.030000000000000002,,0.0,0.5714285714285714,0.0,,,,cross_sports_on_macro,primary_pull
aj_brown_to_patriots,KXFED-26SEP-T5.00,unscheduled_sports,macro_bucket,3,9,False,,,,,0.03,,0.0,9.153846153846153,0.0,,,,cross_sports_on_macro,primary_pull
aj_brown_to_patriots,KXCPI-26JUL-T0.5,unscheduled_sports,macro_bucket,3,25,False,-0.13499999999999995,-0.7290604857861573,-0.42187499999999994,7.666666666666667,0.13333333333333333,,36.38,151.2,1.0,0.19,,,cross_sports_on_macro,primary_pull
aj_brown_to_patriots,KXCPI-26JUL-T0.4,unscheduled_sports,macro_bucket,3,24,False,0.1474999999999999,0.594802097060466,0.3575757575757573,7.666666666666667,0.8099999999999999,,39.0,43.0,22.0,0.5599999999999999,,,cross_sports_on_macro,primary_pull
giannis_to_heat,KXCPI-26AUG-T0.5,unscheduled_sports,macro_bucket,3,22,False,-0.19,-1.243443236546566,-0.6333333333333334,0.16666666666666666,0.09000000000000001,,1.0,21.866818181818182,-1.0,0.115,,,cross_sports_on_macro,primary_pull
giannis_to_heat,KXCPI-26AUG-T0.4,unscheduled_sports,macro_bucket,3,21,False,-0.24476190476190485,-1.32605457752325,-0.6279780085522297,0.16666666666666666,0.08666666666666667,,1.0,38.266666666666666,0.0,0.15000000000000002,,,cross_sports_on_macro,primary_pull
jaylen_brown_to_76ers,KXCPI-26AUG-T0.5,unscheduled_sports,macro_bucket,3,24,False,-0.11895833333333335,-0.876538718951235,-0.5195632393084623,5.666666666666667,0.06000000000000001,,0.0,13.5025,0.0,0.11499999999999999,,,cross_sports_on_macro,primary_pull
jaylen_brown_to_76ers,KXCPI-26AUG-T0.4,unscheduled_sports,macro_bucket,3,19,False,-0.16315789473684209,-0.9336611804906098,-0.5128205128205128,5.666666666666667,0.06333333333333334,,0.0,47.50473684210527,0.0,0.14500000000000002,,,cross_sports_on_macro,primary_pull
mike_conley_to_celtics,KXCPI-26AUG-T0.5,unscheduled_sports,macro_bucket,3,24,False,-0.11895833333333335,-0.876538718951235,-0.5195632393084623,13.033333333333333,0.06000000000000001,,0.0,13.5025,0.0,0.11499999999999999,,,cross_sports_on_macro,primary_pull
mike_conley_to_celtics,KXCPI-26AUG-T0.4,unscheduled_sports,macro_bucket,3,19,False,-0.16315789473684209,-0.9336611804906098,-0.5128205128205128,13.033333333333333,0.06333333333333334,,0.0,47.50473684210527,0.0,0.14500000000000002,,,cross_sports_on_macro,primary_pull
