event_id,ticker,window_days,reason
nba_opening_night,KXNBA-27-CLE,3,no_window_data
nba_opening_night,KXNBA-27-CLE,5,no_window_data
nba_opening_night,KXNBA-27-CHI,1,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-CHI,3,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-CHI,5,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-CHA,1,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-CHA,3,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-CHA,5,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-BOS,1,no_window_data
nba_opening_night,KXNBA-27-BOS,3,no_window_data
nba_opening_night,KXNBA-27-BOS,5,no_window_data
nba_opening_night,KXNBA-27-BKN,1,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-BKN,3,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-BKN,5,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-ATL,1,no_window_data
nba_opening_night,KXNBA-27-ATL,3,no_window_data
nba_opening_night,KXNBA-27-ATL,5,no_window_data
nfl_trade_deadline,KXSB-27-WAS,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-WAS,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-WAS,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-TEN,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-TEN,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-TEN,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-TB,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-TB,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-TB,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-SF,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-SF,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-SF,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-SEA,1,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-SEA,3,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-SEA,5,insufficient_baseline_history_d16
nfl_trade_deadline,KXSB-27-PIT,1,insufficient_baseline_history_d16
