event_id,ticker,exclude_reason,n_base,baseline_window,baseline_mean,day0_date,day0_mid,abn_day0,win_end_date,win_end_mid,abn_win_end,vol_day0,vol_base_daily,vol_ratio,label
nba_draft_2026,KXNBA-27-ORL,,9.0,T0-45d..T0,0.015,2026-06-24,0.015,-0.0,2026-06-26,0.015,-0.0,329.5,2033.4,0.16,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-PHX,,9.0,T0-45d..T0,0.005,2026-06-24,0.005,0.0,2026-06-26,0.005,0.0,2021.1,942.3,2.14,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-MIN,,9.0,T0-45d..T0,0.0361,2026-06-24,0.035,-0.0011,2026-06-26,0.06,0.0239,7927.7,5041.8,1.57,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-CLE,,9.0,T0-45d..T0,0.0261,2026-06-24,0.025,-0.0011,2026-06-26,0.025,-0.0011,593.6,2461.6,0.24,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-LAL,,9.0,T0-45d..T0,0.0367,2026-06-24,0.035,-0.0017,2026-06-26,0.035,-0.0017,7169.7,28523.2,0.25,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-HOU,,9.0,T0-45d..T0,0.0267,2026-06-24,0.025,-0.0017,2026-06-26,0.025,-0.0017,1504.5,1682.5,0.89,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-PHI,,9.0,T0-45d..T0,0.0167,2026-06-24,0.015,-0.0017,2026-06-26,0.015,-0.0017,2226.4,1117.9,1.99,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-TOR,,9.0,T0-45d..T0,0.0072,2026-06-24,0.005,-0.0022,2026-06-26,0.005,-0.0022,4771.9,4133.4,1.15,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-POR,,9.0,T0-45d..T0,0.0072,2026-06-24,0.005,-0.0022,2026-06-26,0.005,-0.0022,14623.9,5628.1,2.6,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-DAL,,9.0,T0-45d..T0,0.0078,2026-06-24,0.005,-0.0028,2026-06-26,0.005,-0.0028,8220.1,8957.4,0.92,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-OKC,,9.0,T0-45d..T0,0.2611,2026-06-24,0.255,-0.0061,2026-06-26,0.245,-0.0161,2940.9,4104.5,0.72,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-DET,,9.0,T0-45d..T0,0.035,2026-06-24,0.025,-0.01,2026-06-26,0.025,-0.01,6044.9,2208.3,2.74,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-NYK,,9.0,T0-45d..T0,0.1361,2026-06-24,0.125,-0.0111,2026-06-26,0.115,-0.0211,4659.2,20778.4,0.22,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-GSW,,9.0,T0-45d..T0,0.0267,2026-06-24,0.015,-0.0117,2026-06-26,0.015,-0.0117,86750.5,6509.4,13.33,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-IND,,9.0,T0-45d..T0,0.0367,2026-06-24,0.025,-0.0117,2026-06-26,0.025,-0.0117,7868.4,3519.0,2.24,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-DEN,,9.0,T0-45d..T0,0.0478,2026-06-24,0.035,-0.0128,2026-06-26,0.035,-0.0128,108568.7,1992.2,54.5,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-SAS,,9.0,T0-45d..T0,0.2478,2026-06-24,0.225,-0.0228,2026-06-26,0.215,-0.0328,3068.1,7008.9,0.44,NON-CONFIRMATORY / POST-PREREG
nba_draft_2026,KXNBA-27-BOS,,9.0,T0-45d..T0,0.1356,2026-06-24,0.105,-0.0306,2026-06-26,0.105,-0.0306,8908.0,24481.1,0.36,NON-CONFIRMATORY / POST-PREREG
