ticker,series,event_id,event_type,category,t0_utc,discovery_source,status,market_type,subtitle,yes_sub_title,floor_strike,cap_strike,open_time,close_time,candle_source,n_candles
KXCPI-26AUG-T0.5,KXCPI,giannis_to_heat_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-06-23T03:50:00Z,live,finalized,binary,0.5%,Above 0.5%,0.5,,2026-02-20T15:00:00Z,2026-09-11T12:25:00Z,live,51
KXCPI-26AUG-T0.4,KXCPI,giannis_to_heat_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-06-23T03:50:00Z,live,finalized,binary,0.4%,Above 0.4%,0.4,,2026-02-20T15:00:00Z,2026-09-11T12:25:00Z,live,47
KXFED-26SEP-T5.25,KXFED,jaylen_brown_to_76ers_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-01T22:20:00Z,live,finalized,binary,5.25%,Above 5.25%,5.25,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,19
KXFED-26SEP-T5.00,KXFED,jaylen_brown_to_76ers_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-01T22:20:00Z,live,finalized,binary,5.00%,Above 5.00%,5,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,22
KXCPI-26AUG-T0.5,KXCPI,jaylen_brown_to_76ers_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-01T22:20:00Z,live,finalized,binary,0.5%,Above 0.5%,0.5,,2026-02-20T15:00:00Z,2026-09-11T12:25:00Z,live,50
KXCPI-26AUG-T0.4,KXCPI,jaylen_brown_to_76ers_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-01T22:20:00Z,live,finalized,binary,0.4%,Above 0.4%,0.4,,2026-02-20T15:00:00Z,2026-09-11T12:25:00Z,live,47
KXFED-26SEP-T5.25,KXFED,mike_conley_to_celtics_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-01T14:58:00Z,live,finalized,binary,5.25%,Above 5.25%,5.25,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,19
KXFED-26SEP-T5.00,KXFED,mike_conley_to_celtics_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-01T14:58:00Z,live,finalized,binary,5.00%,Above 5.00%,5,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,22
KXCPI-26AUG-T0.5,KXCPI,mike_conley_to_celtics_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-01T14:58:00Z,live,finalized,binary,0.5%,Above 0.5%,0.5,,2026-02-20T15:00:00Z,2026-09-11T12:25:00Z,live,50
KXCPI-26AUG-T0.4,KXCPI,mike_conley_to_celtics_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-01T14:58:00Z,live,finalized,binary,0.4%,Above 0.4%,0.4,,2026-02-20T15:00:00Z,2026-09-11T12:25:00Z,live,47
KXFED-26SEP-T5.25,KXFED,mitchell_robinson_to_celtics_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-01T15:39:00Z,live,finalized,binary,5.25%,Above 5.25%,5.25,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,19
KXFED-26SEP-T5.00,KXFED,mitchell_robinson_to_celtics_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-01T15:39:00Z,live,finalized,binary,5.00%,Above 5.00%,5,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,22
KXCPI-26AUG-T0.5,KXCPI,mitchell_robinson_to_celtics_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-01T15:39:00Z,live,finalized,binary,0.5%,Above 0.5%,0.5,,2026-02-20T15:00:00Z,2026-09-11T12:25:00Z,live,50
KXCPI-26AUG-T0.4,KXCPI,mitchell_robinson_to_celtics_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-01T15:39:00Z,live,finalized,binary,0.4%,Above 0.4%,0.4,,2026-02-20T15:00:00Z,2026-09-11T12:25:00Z,live,47
KXFED-26SEP-T5.25,KXFED,neemias_queta_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-03T13:53:00Z,live,finalized,binary,5.25%,Above 5.25%,5.25,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,20
KXFED-26SEP-T5.00,KXFED,neemias_queta_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-03T13:53:00Z,live,finalized,binary,5.00%,Above 5.00%,5,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,24
KXCPI-26AUG-T0.5,KXCPI,neemias_queta_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-03T13:53:00Z,live,finalized,binary,0.5%,Above 0.5%,0.5,,2026-02-20T15:00:00Z,2026-09-11T12:25:00Z,live,50
KXCPI-26AUG-T0.4,KXCPI,neemias_queta_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-03T13:53:00Z,live,finalized,binary,0.4%,Above 0.4%,0.4,,2026-02-20T15:00:00Z,2026-09-11T12:25:00Z,live,47
KXFED-26SEP-T5.25,KXFED,donovan_mitchell_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-07T10:01:00Z,live,finalized,binary,5.25%,Above 5.25%,5.25,,2025-08-06T14:30:00Z,2026-09-16T17:55:00Z,live,20
